,code,name,network,elevation_m,site_property,geometry,X,Y
SNOTEL:436_MT_SNTL,436_MT_SNTL,Darkhorse Lake,SNOTEL,2726,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200040301|HUD=10020004|TimeZone=-8.0|actonId=13D19S|shefId=DHLM8|stationTriplet=436:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (279103.56855616276 111032.96738219223),279103.56855616276,111032.96738219223
SNOTEL:437_MT_SNTL,437_MT_SNTL,Deadman Creek,SNOTEL,1965,"{'county': 'Meagher', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100301030401|HUD=10030103|TimeZone=-8.0|actonId=10C09S|shefId=DDMM8|stationTriplet=437:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (510311.9104610615 283228.98637846153),510311.9104610615,283228.98637846153
SNOTEL:448_MT_SNTL,448_MT_SNTL,Divide,SNOTEL,2377,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=1/1/1971 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200030102|HUD=10020002|TimeZone=-8.0|actonId=12E07S|shefId=DIVM8|stationTriplet=448:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (397717.6941838225 63679.44050123396),397717.6941838225,63679.44050123396
SNOTEL:458_MT_SNTL,458_MT_SNTL,Dupuyer Creek,SNOTEL,1752,"{'county': 'Teton', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1982 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100302010501|HUD=10030201|TimeZone=-8.0|actonId=12A02S|shefId=DPYM8|stationTriplet=458:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (357397.21150186134 428788.77837783896),357397.21150186134,428788.77837783896
SNOTEL:1105_MT_SNTL,1105_MT_SNTL,East Boulder Mine,SNOTEL,1930,"{'county': 'Sweet Grass', 'state': 'Montana', 'site_comments': 'beginDate=6/19/2008 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700020701|HUD=10070002|TimeZone=-8.0|actonId=10D39S|shefId=EBMM8|stationTriplet=1105:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (554668.7642146917 139516.3853768781),554668.7642146917,139516.3853768781
SNOTEL:1106_MT_SNTL,1106_MT_SNTL,Elk Peak,SNOTEL,2316,"{'county': 'Meagher', 'state': 'Montana', 'site_comments': 'beginDate=7/8/2008 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100402010203|HUD=10040201|TimeZone=-8.0|actonId=10C27S|shefId=WHSM8|stationTriplet=1106:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (506955.1296272481 249025.70295701938),506955.1296272481,249025.70295701938
SNOTEL:469_MT_SNTL,469_MT_SNTL,Emery Creek,SNOTEL,1325,"{'county': 'Flathead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1975 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102090703|HUD=17010209|TimeZone=-8.0|actonId=13A24S|shefId=EMCM8|stationTriplet=469:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (271929.74696244154 474244.46038651676),271929.74696244154,474244.46038651676
SNOTEL:480_MT_SNTL,480_MT_SNTL,Fisher Creek,SNOTEL,2773,"{'county': 'Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700060202|HUD=10070006|TimeZone=-8.0|actonId=09D06S|shefId=FSHM8|stationTriplet=480:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (564962.3518189292 90392.99744018466),564962.3518189292,90392.99744018466
SNOTEL:482_MT_SNTL,482_MT_SNTL,Flattop Mtn.,SNOTEL,1920,"{'county': 'Flathead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1969 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102070501|HUD=17010207|TimeZone=-8.0|actonId=13A19S|shefId=FTMM8|stationTriplet=482:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (280122.6094629997 514776.8859740864),280122.6094629997,514776.8859740864
SNOTEL:487_MT_SNTL,487_MT_SNTL,Frohner Meadow,SNOTEL,1975,"{'county': 'Jefferson', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100301011305|HUD=10030101|TimeZone=-8.0|actonId=12C13S|shefId=FRHM8|stationTriplet=487:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (393207.3748949566 246411.2442899152),393207.3748949566,246411.2442899152
